Month,Australia,Cook Islands,Fiji,Samoa,ChinaPRo,India,Thailand,UK,USA
1998M09,29.028,7.54,29.71,8.19,10.76,7.46,10.82,14.496,51.45333333
1998M10,28.204,6.43,23.48,6.96,11.53,9.46,10.12,9.581,41.3
1998M11,21.173,4.4,16.73,6.4,12.83,12.41,6.52,5.14,28.00666667
1998M12,23.63,6.6,18.86,13.83,17.63,24.41,8.73,6.34,32.94666667
1999M01,25.763,8.42,25.96,20.52,18.42,25.45,8.33,5.41,33.52666667
1999M02,15.499,3.79,13.12,7.87,12.76,14.07,4.94,3.124,24.54
1999M03,17.728,3.09,14.72,5.58,12.19,10.02,3.82,4.098,25.52666667
1999M04,24.322,4.78,19.74,4.66,14.66,7.82,5.63,7.737,35.6
1999M05,19.805,4.29,22.26,8.67,13.06,6.28,5.37,11.494,38.30666667
1999M06,25.914,6.71,38.6,7.83,12.77,6.9,8.13,16.284,50.62
1999M07,30.21,6.01,34.3,8.95,14.44,7.16,9.81,16.192,53.06
1999M08,29.547,6.67,27.63,6.45,12.28,6.66,7.7,14.099,46.74
1999M09,30.987,6.71,28.95,8.83,15.47,8.99,8.7,14.994,49.36
1999M10,25.098,4.63,23.46,7.23,15.15,10.91,6.87,12.664,39.71333333
1999M11,21.48,3.63,17.33,7.98,14.61,14.32,7.89,7.403,30.46666667
1999M12,21.799,7.88,18.48,16.8,22.53,20.28,9.92,6.173,27.63333333
2000M01,23.203,10.71,19.36,24.03,22.85,22.7,8.62,5.418,27.39333333
2000M02,16.546,4.14,10.52,9.2,14.85,15.39,5.47,3.023,23.46666667
2000M03,19.493,3.35,13.5,6.82,12.88,11.04,4.81,3.813,22.12666667
2000M04,28.882,5.52,22.05,9.64,16.45,10.55,9.15,6.891,34.35333333
2000M05,21.637,6.09,17.58,8.67,12.43,7.55,7.64,10.609,35.34666667
2000M06,26.246,8.44,9.26,8.87,13.69,6.3,11.13,16.382,47.24666667
2000M07,32.92,10.73,9.91,9.41,14.68,5.56,13.61,17.193,55.82
2000M08,29.036,9.24,7.1,7.64,13.89,6.45,11.03,14.251,45.51333333
2000M09,29.04,8.7,18.43,8.96,21.19,7.96,9.47,13.721,55.88666667
2000M10,26.465,7.39,22.21,6.21,22.97,10.63,8.8,9.485,44.82666667
2000M11,23.891,6.1,17.9,5.59,23.5,12.24,8.23,6.039,34.9
2000M12,27.388,7.79,15.48,13.63,39.98,23.72,11.89,6.755,40.77333333
2001M01,27.603,10.52,15.36,20.73,39.51,27.71,12.41,5.771,40.14666667
2001M02,17.299,5.96,8.65,9.55,22.94,14.28,6.7,3.662,29.54
2001M03,19.058,6.38,8.12,6.01,16.39,8.02,4.43,4.043,27.48
2001M04,26.343,7.92,14.63,5.53,17.98,8.83,8.75,6.894,35.93333333
2001M05,21.205,6.94,13.85,6.52,15.81,5.81,7.87,8.984,36.42666667
2001M06,24.543,8.87,25.65,7.2,18.99,5.64,10.69,12.576,48.82666667
2001M07,29.679,9.32,30.45,11.51,19.69,5.73,17.43,13.959,57.49333333
2001M08,26.215,7.94,28.39,6.95,14.2,7.1,13.54,12.527,48.06
2001M09,30.642,8.3,26.53,6.58,19.21,10.63,13.72,12.062,46.41333333
2001M10,25.18,6.14,22.38,5.78,22.02,12.28,11.74,7.825,34.74
2001M11,20.971,5.98,14.57,4.5,29.34,14.92,9.71,4.775,26.02
2001M12,24.997,8.41,19.15,13.94,60.54,24.35,13.13,5.591,33.8
2002M01,25.071,8.96,18.63,16.82,58.26,25.12,11.94,4.642,32.79333333
2002M02,15.035,3.79,11.32,7.27,35.54,14.47,7.26,3.127,25.93333333
2002M03,19.057,4.2,13.11,5.19,19.86,9.75,7.45,3.755,23.1
2002M04,22.364,6.43,17.17,4.17,25.2,8.12,9.28,6.065,29.79333333
2002M05,19.35,6.07,20.91,7.14,22.01,7.73,8.05,9.2,35.01333333
2002M06,23.757,10.13,30.5,7.59,26.67,6.63,11.71,13.154,47.90666667
2002M07,28.907,10.22,30.41,8.84,27.72,7.95,14.12,14.243,52.92
2002M08,27.125,12.79,29.45,8.37,20.24,8.75,12.89,12.811,43.59333333
2002M09,28.944,9.97,27.86,7.17,24.8,9.93,12.07,12.276,46.61333333
2002M10,25.096,9.4,23.73,5.23,25.56,11.65,11.33,8.848,39.92
2002M11,21.233,6.63,14.67,5.1,46.79,19.5,10.31,5.109,29.68666667
2002M12,23.912,8.88,17.72,14.69,96.33,30.32,12.92,5.888,38.7
2003M01,24.048,12,17.83,20.43,103.47,28.58,12.67,5.202,36.49333333
2003M02,14.395,4.24,10.9,8.53,57.51,20.23,8.08,2.825,29.8
2003M03,16.839,5.51,10.97,5.73,25.92,13.51,5.29,3.174,27.77333333
2003M04,22.836,7.05,18.01,5.82,24.21,11.44,7.35,5.474,31.76666667
2003M05,21.063,6.98,16.44,7.11,16.77,8.04,5.81,8.269,32.32
2003M06,23.784,9.01,27.1,7.15,16.81,9.06,9.22,12.05,38.95333333
2003M07,30.593,11.04,32.5,8.72,24.5,10.09,12.77,13.903,47.55333333
2003M08,27.294,10.16,29.23,6.84,24.1,10.26,12.24,12.58,45.54
2003M09,31.42,11.4,33.22,7.45,31.03,15.89,10.15,12.37,49.38
2003M10,26.391,10.08,25.55,6.34,31.67,18.57,10.64,8.133,39.12
2003M11,24.502,6.61,16.89,5.95,64.21,24.63,11,5.098,28.6
2003M12,27.458,11.53,20.96,13.69,133.79,39.38,15.77,6.337,36.8
2004M01,27.433,10.64,18.81,16.52,141.02,35.58,15.06,5.311,37.46
2004M02,17.879,5.54,10.72,6.64,66.08,23.09,9.2,2.945,29.36
2004M03,21.619,5.1,12.64,6.09,29.65,17.89,8,4.056,28.28666667
2004M04,29.06,8.14,23.95,7.54,36.11,16.57,11.08,7.993,35.93333333
2004M05,24.08,8.2,27.85,8.27,31.16,15.42,9.28,11.317,38.55333333
2004M06,27.844,11.95,36.87,7.82,41.1,13.84,13.4,15.243,51.37333333
2004M07,37.285,14.65,45.37,12.11,53.51,12.53,19.94,17.115,62.57333333
2004M08,34.133,13.92,44.11,9.93,34.07,13.03,15.23,14.721,54.48
2004M09,37.561,15.86,45.67,12.67,44.02,18.76,16.01,14.269,57.46666667
2004M10,30.504,13.99,31.24,10.71,40.28,21.94,15.48,8.857,44.37333333
2004M11,25.771,10.53,22.5,8.12,71.29,30.8,13.89,5.292,32.78
2004M12,30.932,15.42,30.64,18.72,145.68,52.46,16.39,6.795,38.74
2005M01,32.275,14.55,34.38,25.82,146.78,51.28,15.51,5.893,37.62666667
2005M02,21.081,4.26,16.71,10.17,96.24,28.26,7.8,3.593,29.38
2005M03,25.385,4.96,19.75,7.43,43.43,19.99,7.19,3.883,30.78666667
2005M04,30.734,10.57,26.37,9.28,46.26,21.04,12.36,7.217,41.80666667
2005M05,26.707,8.8,24.88,9.76,38.07,18.24,8.73,10.571,48.71333333
2005M06,30.114,12.56,40.48,9.96,41.1,15.52,13.4,14.093,55.65333333
2005M07,39.683,20.15,53.77,16.86,54.67,16.73,20.2,16.97,67.47333333
2005M08,37.689,18.06,43.88,15.34,36.04,12.51,15.3,14.647,54.21333333
2005M09,36.382,16.01,42.21,15.46,48.98,15.94,17.52,14.358,57.92666667
2005M10,36.061,14.93,38.39,12.32,47.85,21.18,16.91,9.852,47.74
2005M11,26.044,9.04,23.36,10.79,64.2,36.83,15.36,6.763,32.92
2005M12,31.958,15.69,30.94,22.16,119.99,66.38,20.6,7.928,39.89333333
2006M01,33.151,18.67,35.07,28.93,138.28,54.64,22.17,7.171,41.92666667
2006M02,20.75,6.24,18.26,12.98,87.5,32.01,11.58,3.572,26.03333333
2006M03,22.359,7.83,19.92,12.87,39.44,16.87,8.32,4.349,26.29333333
2006M04,31.323,11.94,27.86,15.3,45.34,16.7,15.01,7.89,37.72666667
2006M05,26.046,10.6,29.71,12.91,35.47,13.75,12.73,11.587,40.94666667
2006M06,29.873,15.02,40.28,14,47.15,13.15,17.77,16.411,51.8
2006M07,38.739,19.31,54.81,16.55,54.21,13.76,24.05,18.537,61.48666667
2006M08,33.64,18.85,43.56,11.43,35.07,15.19,15.86,16.257,50.36
2006M09,37.059,18.42,44.13,14.85,46.11,21.01,15.8,15.402,57.66666667
2006M10,33.501,16.12,32.36,11.2,51.54,29.85,14.88,10.083,46.34
2006M11,27.734,11.75,19.12,11.66,65.97,38,14.33,6.321,30.26666667
2006M12,31.941,15.02,24.33,24.42,107.01,68.52,18.98,7.836,41.07333333
2007M01,33.468,17.68,27.32,31.66,111.49,75.67,20.05,7.526,41.52666667
2007M02,20.602,7.76,14.42,12.08,81.47,41.33,13.5,4.508,27.94666667
2007M03,23.576,8.26,14.61,10.8,43.5,26.84,9.95,4.493,27.36666667
2007M04,31.027,12.06,26.99,14.45,48.92,25.33,16.05,7.72,39.35333333
2007M05,28.781,13.82,25.73,13.53,43.24,20.62,13.33,11.566,44.13333333
2007M06,32.414,16.72,37.01,14.27,53.44,17.76,19.25,17.655,56.41333333
2007M07,39.793,19.83,47.05,18.66,56.8,18.54,26.64,20.888,66.36
2007M08,36.669,17.89,36.29,15.77,52.06,19.27,22.95,17.305,54.68666667
2007M09,39.818,17.87,39.15,18.21,61.81,21.71,19.33,17.015,59.99333333
2007M10,35.862,15.87,28.19,15.64,62.01,27.53,18.17,11.694,46.55333333
2007M11,30.334,11.12,19.74,14.57,64.67,41.04,14.66,6.184,35.92666667
2007M12,33.424,17.71,29.37,26.13,111.02,74.46,17.71,7.877,41.26
2008M01,33.282,20.67,33.95,35.66,125.49,77.44,18.49,7.027,44.81333333
2008M02,21.818,9.56,18.93,13.73,91.29,39.67,11.87,3.52,26.39333333
2008M03,24.946,9.56,19.7,11.85,51.2,29.42,13.26,4.241,25.17333333
2008M04,29.872,12.13,25.92,13.09,54.74,22.71,20.1,7.538,38.71333333
2008M05,29.969,15.16,24.08,14.2,50.92,22.61,14.83,11.841,45.4
2008M06,32.317,16.68,37.07,15.67,48.93,20.24,18.67,16.514,57.09333333
2008M07,38.955,20.03,50.22,20.02,53.12,22.15,25.67,20.376,72.69333333
2008M08,35.703,18.48,40.95,15.78,46.88,20.75,18.81,17.597,61.23333333
2008M09,34.81,16.84,34.52,16.12,51.42,26.07,14.71,15.956,60.90666667
2008M10,36.949,17.27,33.43,16.28,61.46,32.53,18.47,10.435,54.86666667
2008M11,30.045,14.57,22.54,13.39,69.38,47.83,15.05,6.305,35.18
2008M12,34.375,16.26,26.25,24.72,110.84,74.79,20.33,7.343,40.26666667
2009M01,34.374,16.22,21.25,30.08,130.46,70.85,21.83,6.443,38.98666667
2009M02,21.938,9.23,12.62,12.63,80.69,41.97,15.05,3.233,26.61333333
2009M03,24.904,11.29,13.48,11.94,47.55,31.21,12.35,3.976,26.13333333
2009M04,32.149,13.15,23.15,15.32,56.77,32.86,18.22,7.665,37.82666667
2009M05,28.59,15.95,22.76,16.11,54.1,23.77,15.48,10.571,40.75333333
2009M06,29.593,18.91,34.06,15.89,55.31,19.21,21.01,14.773,53.4
2009M07,37.437,22.43,46.89,22.84,58.9,22.17,20.46,18.537,64.8
2009M08,35.165,19.89,40.57,16.82,48.61,21.21,17.68,15.606,51.02
2009M09,35.123,20.23,38.2,16.42,60.33,25.33,18.52,13.918,48.94
2009M10,35.66,17.46,31.61,20.76,71.44,34.15,19.12,8.851,42.95333333
2009M11,27.942,11.43,20.01,18.54,73.41,47.87,16.32,5.011,30.82666667
2009M12,32.128,14.57,31.48,25.89,111.41,81.7,23.25,7.136,34.69333333
2010M01,32.871,15.72,30.28,31.16,123.69,76.7,22.96,6.07,30.62
2010M02,21.201,8.25,12.51,16.15,98.99,48.01,11.96,2.933,22.75333333
2010M03,24.527,10.19,15.01,13.1,54.71,29.91,12.92,3.967,24.08666667
2010M04,31.231,15.44,23.96,15.72,56.53,27.59,17.93,6.791,40.60666667
2010M05,27.945,14.64,23.41,13.62,60.22,22.6,10.69,9.985,44.66
2010M06,30.574,18.5,32.84,18.11,64.22,23.88,16.22,16.323,61.7
2010M07,39.067,21.54,43.48,22.75,63.9,25.9,22.38,19.146,71.52666667
2010M08,35.238,21.27,39.61,17.83,52.73,20.86,17.66,16.183,59.24
2010M09,37.221,20.2,37.06,17.82,68.39,20.93,15.45,16.588,59.24666667
2010M10,36.81,17.35,34.21,16.6,72.2,29.82,17.08,9.979,47.66
2010M11,28.378,13.63,20.98,14.01,75.88,44.86,15.57,5.331,34.22
2010M12,33.783,15.46,35.92,24.98,113.12,75.7,21.15,7.325,36.1
2011M01,32.586,17.71,33.98,33.64,132.21,76.31,24.72,6.179,37.15333333
2011M02,22.931,8.23,16.52,15.21,97.21,52.32,13.48,2.837,23.90666667
2011M03,27.312,9.37,15.11,13.28,58.37,35.61,12.55,3.424,24.68
2011M04,33.444,14.23,26.76,15.59,75.94,32.32,22.41,7.72,39.72
2011M05,29.511,16.97,28.35,14.98,66.76,26.87,18.53,11.489,42.78666667
2011M06,31.383,21.39,39.15,15.23,65,22.6,23.36,16.201,58.14
2011M07,40.624,27.28,53.22,19.93,62.18,23.11,33.09,19.797,81.04
2011M08,36.595,20.86,44.5,16.16,52.46,26.19,25.9,15.239,62.99333333
2011M09,31.55,19.51,32.55,15.82,65.26,28.58,16.73,11.789,57.02
2011M10,35.513,19.28,28.27,15.21,72.81,39.22,17.41,8.658,53.56
2011M11,31.648,16.28,23.01,14.05,78.02,51.21,14.82,5.094,39.22
2011M12,37.006,16.57,31.29,24.22,124.79,87.66,22.23,7.329,42.22666667
2012M01,35.929,15.59,34.38,29.52,156.89,84.61,26.5,6.2,42.37333333
2012M02,24.93,9.69,13.77,11.88,88.58,62.13,16.5,2.985,27.18666667
2012M03,26.367,12.1,14.45,10.97,55.45,42.25,15.95,4.217,27.5
2012M04,34.237,18.16,24.18,13.8,65.83,35.47,27.61,8.464,50.42
2012M05,29.306,17.19,27.75,17.73,62.88,27.4,19.89,11.892,51.30666667
2012M06,32.598,23.39,41.2,22.81,64.49,28.37,28.35,16.983,71.68666667
2012M07,40.716,29.48,54.9,24.1,64.21,29.01,36.17,17.63,89.24666667
2012M08,35.274,23.97,41.77,16.85,51.94,28.12,28.01,14.845,72.16666667
2012M09,35.321,22.39,37.75,17.38,64.33,32.49,21.23,14.363,69.79333333
2012M10,39.343,21.47,38.65,18.1,72.59,39.32,21.37,9.359,63.26666667
